"ΟΝΟΜΑΣΙΑ ΦΟΡΕΑ - ΥΠΗΡΕΣΙΑΣ","ΕΠΟΠΤΕΥΟΝ ΥΠΟΥΡΓΕΙΟ","ΝΟΜΙΚΗ ΜΟΡΦΗ - ΕΙΔΟΣ ΥΠΗΡΕΣΙΑΣ","ΤΟΜΕΙΣ ΠΟΛΙΤΙΚΗΣ","ΥΠΑΓΩΓΗ ΣΤΟ ΔΗΜΟΣΙΟ ΤΟΜΕΑ","ΛΟΙΠΕΣ ΠΛΗΡΟΦΟΡΙΕΣ",﻿"URL","FRAMEWORKS","SERVER","CDN","SSL","COPYRIGHT"
"ΩΝΑΣΕΙΟ ΚΑΡΔΙΟΧΕΙΡΟΥΡΓΙΚΟ ΚΕΝΤΡΟ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","","ΕΚΤΟΣ","","www.onasseio.gr/","Shockwave Flash Embed/ASP.NET/Classic ASP/Adobe Dreamweaver/PHP/","IIS 8/IIS/Apache/","yes","yes","OzServers","N/A"
"1Η ΔΙΟΙΚΗΣΗ ΥΓΕΙΟΝΟΜΙΚΗΣ ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","www.1dype.gov.gr","Goodnews/PHP/","Apache/","yes","N/A","self hosted","Copyright Year 2017"
"2Η ΔΙΟΙΚΗΣΗ ΥΓΕΙΟΝΟΜΙΚΗΣ ΠΕΡΙΦΕΡΕΙΑΣ ΠΕΙΡΑΙΩΣ ΚΑΙ ΑΙΓΑΙΟΥ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","https://www.2dype.gr","Shockwave Flash Embed/PHP/","Apache/nginx/","yes","yes","self hosted","N/A"
"3Η ΔΙΟΙΚΗΣΗ ΥΓΕΙΟΝΟΜΙΚΗΣ ΠΕΡΙΦΕΡΕΙΑΣ ΜΑΚΕΔΟΝΙΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","www.3ype.gr","Adobe Dreamweaver/","nginx/nginx 1.2/","N/A","yes","Forthnet","Copyright Year 2016"
"4Η ΔΙΟΙΚΗΣΗ ΥΓΕΙΟΝΟΜΙΚΗΣ ΠΕΡΙΦΕΡΕΙΑΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","https://www.4ype.gr","PHP/PHP 7/","Apache/","yes","N/A","self hosted","N/A"
"5Η ΔΙΟΙΚΗΣΗ ΥΓΕΙΟΝΟΜΙΚΗΣ ΠΕΡΙΦΕΡΕΙΑΣ ΘΕΣΣΑΛΙΑΣ ΚΑΙ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","www.dypethessaly.gr/","ASP.NET/","IIS/IIS 8/","N/A","N/A","self hosted","N/A"
"6Η ΔΙΟΙΚΗΣΗ ΥΓΕΙΟΝΟΜΙΚΗΣ ΠΕΡΙΦΕΡΕΙΑΣ ΠΕΛΟΠΟΝΝΗΣΟΥ ΙΟΝΙΩΝ ΝΗΣΩΝ ΗΠΕΙΡΟΥ ΚΑΙ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","www.dypede.gr","ASP.NET/VMag Theme/PHP/","IIS 6/IIS/Apache/","yes","yes","self hosted","Copyright Year 2007"
"7Η ΔΙΟΙΚΗΣΗ ΥΓΕΙΟΝΟΜΙΚΗΣ ΠΕΡΙΦΕΡΕΙΑΣ ΚΡΗΤΗΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","https://www.hc-crete.gr","ASP.NET MVC/ASP.NET/ASP.NET 4.0/","IIS 7/IIS/","N/A","N/A","self hosted","Copyright Year 2012"
"APOLLON","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΕΝΕΡΓΕΙΑΣ","ΕΚΤΟΣ","ΘΥΓΑΤΡΙΚΗ ΤΗΣ ΕΛ.ΠΕ.","www.apollon.com","Ruby on Rails Token/React on Rails/OpenResty/","","N/A","N/A","self hosted","N/A"
"DIAXON","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΕΝΕΡΓΕΙΑΣ","ΕΚΤΟΣ","ΘΥΓΑΤΡΙΚΗ ΤΗΣ ΕΛ.ΠΕ.","www.diaxon.gr/","PHP/","Apache 2.4/Apache/","yes","yes","self hosted","N/A"
